id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
ZonauReliefSearch,Mensajes de tiempos pretéritos,Messages from an Ancient Era,Un message des temps anciens,고대에서 온 메시지,古代からのメッセージ,«Послание из глубины веков»,Inscripties uit vervlogen tijden,Un messaggio dai tempi antichi,Nachricht aus uralter Zeit,来自古代的信息,來自古代的訊息,Un message des temps anciens,Mensajes de tiempos pretéritos,Messages from an Ancient Era
StatueDevilTutorial,Pacto con la estatua,A Deal With the Statue,Négociations diaboliques,악마와의 계약,悪魔との契約,«Сделка с истуканом»,Demonische deal,Trattative demoniache,Pakt mit dem Dämon,与恶魔的契约,與惡魔的契約,Négociations diaboliques,Pacto con la estatua,A Deal With the Statue
LookingForTheVoiceLord,Averigua de quién es la voz,Who Goes There?,La voix du démon,목소리의 주인을 찾아서,声の主を探して,«Чей это голос?»,Ontstemd door een stem,Una voce dalle tenebre,Die Stimme aus der Wand,寻找声音的主人,找尋聲音的主人,La voix du démon,Averigua de quién es la voz,Who Goes There?
Connect_FirstIsland,Una petición del subsuelo,A Call from the Depths,L'appel des profondeurs,지저로 부르는 목소리,地底からの呼び声,«Зов из каверн»,Een roep uit het nederrijk,Una richiesta dal sottosuolo,Ein Ruf aus der Tiefe,来自地底的呼唤,來自地底的呼喚,L'appel des profondeurs,Una petición del subsuelo,A Call from the Depths
AssassinGerudoBase,¡Infiltración en el clan Yiga!,Infiltrating the Yiga Clan,Infiltration chez les Yigas,이가단에 잠입,潜入 イーガ団,«Попасть в логово клана Ига»,Infiltreren in de Yiga-bende,Infiltrazione nel covo degli Yiga,Zum Versteck der Yiga-Bande,潜入依盖队,潛入依蓋隊,Infiltration chez les Yigas,¡Infiltración en el clan Yiga!,Infiltrating the Yiga Clan
GerudoCanyon_Adventure,El examen del clan Yiga,The Yiga Clan Exam,L'examen d'officier Yiga,이가단 간부 시험,イーガ団の幹部試験,«Экзамен клана Ига»,De elitetest van de Yiga-bende,La prova per diventare pezzo grosso,Die Yiga-Offiziersprüfung,依盖队的干部考试,依蓋隊的幹部考試,L'examen d'officier yiga,El examen del clan Yiga,The Yiga Clan Exam
MinusYiga,El plan del maestro Kogg,Master Kohga of the Yiga Clan,Les plans du grand Kohga,이가단 총단장 코가님의 음모!,イーガ団総長 コーガ様の陰謀！,«Происки главаря Коги из клана Ига»,De snode plannen van Kohga,Il piano del maestro Koga,Kogas finstere Pläne,依盖队队长——可盖大人的阴谋！,依蓋隊隊長可蓋大人的陰謀！,Les plans du grand Kohga,El plan del maestro Kogg,Master Kohga of the Yiga Clan
CarryToShrine09,El santuario del monte Satoly,The Satori Mountain Crystal,Le sanctuaire du mont Satori,사토리산의 사당과 수정,サトリ山の祠と水晶,«Святилище горы Сатори»,Het kristal van de Satori-bergtempel,Il cristallo del monte Satori,Schrein auf dem Satori-Berg,萨托利山的神庙与水晶,薩托利山的神廟與水晶,Le sanctuaire du mont Satori,El santuario del monte Satoly,The Satori Mountain Crystal
Rito_ShadowCave,El pájaro blanco lleva a la cueva,The White Bird's Guidance,L'oiseau blanc et la grotte,하얀 새가 인도하는 동굴,白い鳥が導く洞窟,«Пещера белой птицы»,De witte vogel die naar de grot wijst,L'uccello che indicava la grotta,Weißer Vogel weist den Weg,白鸟所指引的洞窟,白鳥所指引的洞窟,L'oiseau blanc et la grotte,El pájaro blanco lleva a la cueva,The White Bird's Guidance
CarryToShrine02,El cristal del cráter de Ghissa,The Gisa Crater Crystal,Le sanctuaire du cratère d'Oriolo,기샤의 크레이터에 잠든 수정,ギサのクレーターに眠る水晶,«Кристалл в кратере Гиса»,Het kristal van de Gisa-krater,Il cristallo dei crateri di Ghissa,Schrein des Gissa-Kraters,沉睡于吉萨的环形山的水晶,在吉薩的環形山沉眠的水晶,Le sanctuaire du cratère d'Oriolo,El cristal del cráter de Ghissa,The Gisa Crater Crystal
CarryToShrine15,El santuario del norte de Hebra,The North Hebra Mountains Crystal,Le sanctuaire d'Hébra nord,헤브라산 북쪽의 사당과 수정,ヘブラ山の北の祠と水晶,«Святилище на севере Эберских гор»,Het noordelijke Hebra-berg-kristal,Il cristallo a nord di Hebra,Schrein in den Hebra-Bergen,海布拉山北方的神庙与水晶,海布拉山北方的神廟與水晶,Le sanctuaire d'Hébra nord,El santuario del norte de Hebra,The North Hebra Mountains Crystal
CarryToShrine16,El cristal del noroeste de Hebra,The Northwest Hebra Cave Crystal,Le sanctuaire d'Hébra ouest,헤브라산 북서쪽 동굴에 잠든 수정,ヘブラ山北西の洞窟に眠る水晶,«Кристалл пещеры Эберских гор»,Het kristal van de Hebra-berggrot,Il sacrario a Hebra nord-ovest,Schrein in der Nordwesthöhle,沉睡于海布拉山西北的洞窟中的水晶,在海布拉山西北的洞窟沉眠的水晶,Le sanctuaire d'Hébra ouest,El cristal del noroeste de Hebra,The Northwest Hebra Cave Crystal
Korok_CarryToShrine,La piedra y las manzanas,A Pretty Stone and Five Golden Apples,La jolie pierre et les pommes,예쁜 돌과 황금 사과,キレイな石と金のリンゴ,«Камень и пять золотых яблок»,De groene steen en de gouden appels,La pietra verde e le mele dorate,Funkelstein und Goldäpfel,漂亮的石头与金苹果,漂亮的石頭與金蘋果,La jolie pierre et les pommes,La piedra y las manzanas,A Pretty Stone and Five Golden Apples
NoTrespassing,¿Prohibido el paso?,None Shall Pass?,On ne passe pas!,이 앞은 출입 금지?,この先 立ち入り禁止？,«Посторонним вход воспрещен?»,Verboden toegang?,Di qui non si passa?,Zutritt verboten?,前方禁止进入？,前方禁止進入？,On ne passe pas !,¿Prohibido el paso?,None Shall Pass?
InfiltrationFromTheSky,El lugar especial de Otil,Maca's Special Place,Le refuge de Makus,마카마카의 비밀의 장소,マカマカとっておきの場所,«Секрет корока»,Maca's geheime plekje,Il luogo speciale di Maca,Macus’ ganz besonderer Ort,玛卡玛喀的珍藏地点,瑪卡瑪加的珍藏地點,Le refuge de Makus,El lugar especial de Otil,Maca's Special Place
CarryToShrine01,El santuario de la caldera,The Death Caldera Crystal,Le sanctuaire de la caldeira de la Mort,데스칼데라의 사당과 수정,デスカルデラの祠と水晶,«Святилище кальдеры Смерти»,Het kristal van de Krater des Doods,Il cristallo della caldera,Schrein des Todeskraters,死亡破火山口的神庙与水晶,死亡破火山口的神廟與水晶,Le sanctuaire de la caldeira de la Mort,El santuario de la caldera,The Death Caldera Crystal
CarryToShrine03,El cristal del lago Daron,The Lake Intenoch Cave Crystal,Le sanctuaire du lac de Torgol,유후윈호의 동굴에 잠든 수정,ユフィン湖の洞窟に眠る水晶,«Кристалл в пещере озера Интенох»,Het kristal van het Intenoch-meer,Il cristallo del lago Tursania,Schrein in der Höhle am Yufin-See,沉睡于幽芬湖的洞窟中的水晶,在幽芬湖的洞窟沉眠的水晶,Le sanctuaire du lac de Torgol,El cristal del lago Daron,The Lake Intenoch Cave Crystal
IchikaraChallenge03,El timo de Hagui,Rock for Sale,Un rocher à vendre,돌 팔아요,この石売ります,«Камень на продажу»,Een steengoede koop,Una pietra in vendita,Stein zu verkaufen,卖了这块石头,石頭出售中,Un rocher à vendre,El timo de Hagg,Rock for Sale
CraftShadowPicture,Oculto en la oscuridad,Dyeing to Find It,En noir et blanc,검게 물들여서,黒く染め上げて,«Из белого цвета в черный»,Van licht komt duisternis,Tingilo di nero,Aus Weiß mach Schwarz,染作漆黑,將其染黑,En noir et blanc,Oculto en la oscuridad,Dyeing to Find It
SnowyMountain_Surfing,La leyenda de la fuente y los anillos,The High Spring and the Light Rings,La légende de la source et des anneaux,하늘 높은 샘과 빛의 고리 전승,天高き泉と光輪の伝承,«Предание о кольцах света»,De legende over de schat op de berg,La leggenda della fonte e degli anelli,Die Legende der Lichträder,高天之泉与光环的传说,天高之泉與光環的傳說,La légende de la source et des anneaux,La leyenda de la fuente y los anillos,The High Spring and the Light Rings
CarryToShrine10,El santuario del camino a Lanayru,The Lanayru Road Crystal,Le sanctuaire de Lanelle,라넬 로드의 사당과 수정,ラネール参道の祠と水晶,«Святилище пути Ланейру»,Het kristal van de Lanayru-wegtempel,Il cristallo del passo di Ranel,Schrein an der Ranelle-Straße,拉聂尔参道的神庙与水晶,拉聶爾參道的神廟與水晶,Le sanctuaire de Lanelle,El santuario del camino a Lanayru,The Lanayru Road Crystal
CarryToShrine08_Zora,El santuario del canal de Ralis,The Ralis Channel Crystal,Le sanctuaire de la veine de Lars,랠리스 수맥의 사당과 수정,ラルス水脈に眠る祠と水晶,«Святилище канала Ралис»,De tempel van de Ralis-vijver-grot,Il cristallo del canale,Schrein im Ralis-Kanal,沉睡于拉尔斯水脉的神庙与水晶,在拉爾斯水脈沉眠的神廟與水晶,Le sanctuaire de la veine de Lars,El santuario del canal de Ralis,The Ralis Channel Crystal
IceMaking,Las llaves que nacen del agua,Keys Born of Water,Les clés nées de l'eau,물에서 태어난 열쇠,水から生まれし鍵,«Вода откроет путь»,Uit water geboren sleutels,Le chiavi nate dall'acqua,Dem Wasser entsprungen,由水而生的钥匙,自水而生的鑰匙,Les clés nées de l'eau,Las llaves que nacen del agua,Keys Born of Water
CarryToShrine13,El cristal de la laguna Belro,The Oakle's Navel Cave Crystal,Le sanctuaire du lac Nêche,라나호의 동굴에 잠든 수정,ラナ湖の洞窟に眠る水晶,«Кристалл в Дубковой пещере»,Het kristal van Oakle's Navel,Il cristallo del lago Quercus,Schrein in der Höhle am Eichsee,沉睡于拉纳湖的洞窟中的水晶,在拉納湖的洞窟沉眠的水晶,Le sanctuaire du lac Nêche,El cristal de la laguna Roblen,The Oakle's Navel Cave Crystal
GiantHorse,A lomos de un caballo gigante,Ride the Giant Horse,À dos de géant,거대한 말을 데리고,巨大な馬を連れて,«Огромная лошадь»,Op de rug van een reuzenpaard,Con un cavallo gigante,Auf hohem Ross,带来巨大的马匹,將巨大馬匹帶來,À dos de géant,A lomos de un caballo gigante,Ride the Giant Horse
CarryToShrine06,El santuario del lago Hylia,The Lake Hylia Crystal,Le sanctuaire du lac Hylia,하일리아호의 사당과 수정,ハイリア湖の祠と水晶,«Святилище озера Хайлия»,Het kristal van de Hylia-meertempel,Il cristallo del lago Hylia,Schrein im Hylia-See,海利亚湖的神庙与水晶,海利亞湖的神廟與水晶,Le sanctuaire du lac Hylia,El santuario del lago Hylia,The Lake Hylia Crystal
DevoteSpring,La leyenda de la lanza arrojadiza,Legend of the Soaring Spear,La légende du javelot,창 던지기 전승,槍投げの言い伝え,«Легенда о копье»,De legende van de werpspeer,La leggenda della lancia,Die geflügelte Lanze,投枪的传说,擲槍的傳說,La légende du javelot,La leyenda de la lanza arrojadiza,Legend of the Soaring Spear
CarryToShrine07,El santuario del cañón de Gerudo,The Gerudo Canyon Crystal,Le sanctuaire du canyon Gerudo,겔드 캐니언의 사당과 수정,ゲルドキャニオンの祠と水晶,«Святилище ущелья Герудо»,Het kristal van de Gerudo-klooftempel,Il cristallo del canyon,Schrein im Gerudo-Tal,格鲁德峡谷的神庙与水晶,格魯德峽谷的神廟與水晶,Le sanctuaire du canyon Gerudo,El santuario del cañón de Gerudo,The Gerudo Canyon Crystal
CarryToShrine19,El santuario celeste de Hyrule norte,The North Hyrule Sky Crystal,Le sanctuaire céleste d'Hyrule nord,북하이랄 하늘제도의 사당과 수정,北ハイラル空諸島の祠と水晶,«Северо-Хайрульское святилище»,Het Noord-Hyrule-hemelarchipelkristal,Il sacrario celeste di Hyrule nord,Schrein im Archipel von Nord-Hyrule,北海拉鲁天空诸岛的神庙与水晶,北海拉魯天空諸島的神廟與水晶,Le sanctuaire céleste d'Hyrule nord,El santuario celeste de Hyrule norte,The North Hyrule Sky Crystal
CarryToShrine11,El santuario celeste de Hyrule sur,The South Hyrule Sky Crystal,Le sanctuaire céleste d'Hyrule sud,남하이랄 하늘제도의 사당과 수정,南ハイラル空諸島の祠と水晶,«Южно-Хайрульское святилище»,Het Zuid-Hyrule-hemelarchipelkristal,Il sacrario celeste di Hyrule sud,Schrein im Archipel von Süd-Hyrule,南海拉鲁天空诸岛的神庙与水晶,南海拉魯天空諸島的神廟與水晶,Le sanctuaire céleste d'Hyrule sud,El santuario celeste de Hyrule sur,The South Hyrule Sky Crystal
CarryToShrine20,El santuario celeste de Tabanta,The Tabantha Sky Crystal,Le sanctuaire céleste de Tabanta,타반타 하늘제도의 사당과 수정,タバンタ空諸島の祠と水晶,«Табантское святилище»,Het Tabantha-hemelarchipelkristal,Il sacrario celeste di Colbacco,Schrein im Archipel von Tabanta,塔邦挞天空诸岛的神庙与水晶,塔邦撻天空諸島的神廟與水晶,Le sanctuaire céleste de Tabanta,El santuario celeste de Tabanta,The Tabantha Sky Crystal
CarryToShrine21,El santuario celeste de Hebra este,The East Hebra Sky Crystal,Le sanctuaire céleste d'Hébra est,동헤브라 하늘제도의 사당과 수정,東ヘブラ空諸島の祠と水晶,«Восточно-Эберское святилище»,Het Oost-Hebra-hemelarchipelkristal,Il sacrario celeste di Hebra est,Schrein im Archipel von Ost-Hebra,东海布拉天空诸岛的神庙与水晶,東海布拉天空諸島的神廟與水晶,Le sanctuaire céleste d'Hébra est,El santuario celeste de Hebra este,The East Hebra Sky Crystal
CarryToShrine14,El santuario de la cantera celeste,The Sky Mine Crystal,Le sanctuaire de l'île de la Carrière,채석의 섬의 사당과 수정,採石の島の祠と水晶,«Святилище острова Карьерный»,Het kristal van het Mijneiland,Il cristallo dell'isola della cava,Schrein auf der Steinbruch-Insel,采石之岛的神庙与水晶,採石之島的神廟與水晶,Le sanctuaire de l'île de la Carrière,El santuario de la cantera celeste,The Sky Mine Crystal
CarryToShrine17,El santuario celeste de Akkala sur,The Sokkala Sky Crystal,Le sanctuaire céleste d'Akkala sud,남추낙 하늘제도의 사당과 수정,ミナッカレ空諸島の祠と水晶,«Южно-Аккальское святилище»,Het Zuid-Akkala-hemelarchipelkristal,Il sacrario celeste di Sudakkala,Schrein im Archipel von Süd-Akkala,南阿卡莱天空诸岛的神庙与水晶,南阿卡萊天空諸島的神廟與水晶,Le sanctuaire céleste d'Akkala sud,El santuario celeste de Akkala sur,The Sokkala Sky Crystal
CarryToShrine23,El santuario celeste de Lanayru sur,The South Lanayru Sky Crystal,Le sanctuaire céleste de Lanelle sud,남라넬 하늘제도의 사당과 수정,南ラネール空諸島の祠と水晶,«Южно-Ланейрское святилище»,Het Zuid-Lanayru-hemelarchipelkristal,Il sacrario celeste di Ranel sud,Schrein im Archipel von Süd-Ranelle,南拉聂尔天空诸岛的神庙与水晶,南拉聶爾天空諸島的神廟與水晶,Le sanctuaire céleste de Lanelle sud,El santuario celeste de Lanayru sur,The South Lanayru Sky Crystal
CarryToShrine12,El santuario celeste de Necluda norte,The North Necluda Sky Crystal,Le sanctuaire céleste de Necluda nord,북하테르 하늘제도의 사당과 수정,北ハテール空諸島の祠と水晶,«Северо-Неклюдское святилище»,Het N.-Necluda-hemelarchipelkristal,Il sacrario celeste di Necluda nord,Schrein im Archipel von Nord-Necluda,北哈特尔天空诸岛的神庙与水晶,北哈特爾天空諸島的神廟與水晶,Le sanctuaire céleste de Necluda nord,El santuario celeste de Necluda norte,The North Necluda Sky Crystal
CarryToShrine22,El santuario celeste de Necluda oeste,The West Necluda Sky Crystal,Le sanctuaire céleste de Necluda ouest,서하테르 하늘제도의 사당과 수정,西ハテール空諸島の祠と水晶,«Западно-Неклюдское святилище»,Het West-Necluda-hemelarchipelkristal,Il sacrario celeste di Necluda ovest,Schrein im Archipel von West-Necluda,西哈特尔天空诸岛的神庙与水晶,西哈特爾天空諸島的神廟與水晶,Le sanctuaire céleste de Necluda ouest,El santuario celeste de Necluda oeste,The West Necluda Sky Crystal
CarryToShrine05,El santuario celeste de Necluda,The Necluda Sky Crystal,Le sanctuaire céleste de Necluda,하테르 하늘제도의 사당과 수정,ハテール空諸島の祠と水晶,«Неклюдское святилище»,Het Necluda-hemelarchipelkristal,Il sacrario celeste di Necluda,Schrein im Archipel von Necluda,哈特尔天空诸岛的神庙与水晶,哈特爾天空諸島的神廟與水晶,Le sanctuaire céleste de Necluda,El santuario celeste de Necluda,The Necluda Sky Crystal
FindWhiteHorse,¿Dónde estará mi caballo?,Spotting Spot,La jument perdue,말은 어디로,馬はいずこへ,«Где же моя лошадь?»,"Verrek, waar is mijn Vlek?",Dov'è finito il mio cavallo?,Wo ist mein Pferd?,马儿去向何方,馬兒跑哪去,La jument perdue,¿Dónde estará mi caballo?,Spotting Spot
NowInTheVillageOfLurelin,La aldea asaltada por piratas,Village Attacked by Pirates,Un village en détresse,해적에게 습격당한 마을,海賊に襲われた村,«Новости из Лурелина»,Piraten in Lurelin,Il villaggio attaccato dai pirati,Angriff der Piraten,遭遇海盗袭击的村庄,遭海盜襲擊的村莊,Un village en détresse,La aldea asaltada por piratas,Village Attacked by Pirates
CookAtBaseCamp,El menú del día,Today's Menu,Le menu du jour,오늘의 식단,今日の献立,«Меню дня»,Dagmenu,Il menu del giorno,Tagesmenü,今天的菜单,本日菜單,Le menu du jour,El menú del día,Today's Menu
BuildingMaterialsTutorial,El establo en construcción,The Incomplete Stable,L'écurie inachevée,덜 완성된 축사,未完成な厩舎,«Недостроенные стойла»,De onvoltooide wisselplaats,La stalla in costruzione,Der unfertige Unterstand,未建成的马厩,尚未完工的馬棚,L'écurie inachevée,El establo en construcción,The Incomplete Stable
DefeatHugeEnemy_1,A la caza del talus,WANTED: Stone Talus,À la chasse au Lithorok,WANTED 바위록,イワロックWANTED,«В поисках каменного глыбника»,Steen-Talus gezocht,Caccia al sassorok,Operation Iwarok,岩石巨人WANTED,岩石巨人WANTED,À la chasse au Lithorok,A la caza del petrarok,WANTED: Stone Talus
DefeatHugeEnemy_2,A la caza de la moldora,WANTED: Molduga,À la chasse au Moldarquor,WANTED 몰드래고,モルドラジークWANTED,«В поисках молдоры»,Molduga gezocht,Caccia alla moldenottera,Operation Moldora,莫尔德拉吉克WANTED,莫爾德拉吉克WANTED,À la chasse au Moldarquor,A la caza del moldora,WANTED: Molduga
DefeatHugeEnemy_3,A la caza del hinox,WANTED: Hinox,À la chasse à l'Hinox,WANTED 히녹스,ヒノックスWANTED,«В поисках хинокса»,Hinox gezocht,Caccia all'hinox,Operation Hinox,西诺克斯WANTED,西諾克斯WANTED,À la chasse à l'Hinox,A la caza del hinox,WANTED: Hinox
DefeatHugeEnemy_4,A la caza del gigante del cielo,Unknown Sky Giant,Le mystérieux géant du ciel,미지의 하늘의 거인,未知なる 空の巨人,«Неизвестный небесный гигант»,Onbekende hemelreus,Caccia al gigante celeste,Operation Himmelsriese,未知的天空巨人,未知的天空巨人,Le mystérieux géant du ciel,A la caza del gigante del cielo,Unknown Sky Giant
DefeatHugeEnemy_5,A la caza del monstruo de tres cabezas,Unknown Three-Headed Monster,Le mystérieux monstre à trois têtes,미지의 머리가 3개인 몬스터,未知なる 三つ首の魔物,«Неизвестный трехглавый монстр»,Het onbekende driekoppige monster,Caccia al mostro a tre teste,Operation Dreikopfmonster,未知的三首之怪物,未知的三頭之怪物,Le mystérieux monstre à trois têtes,A la caza del monstruo de tres cabezas,Unknown Three-Headed Monster
DefeatHugeEnemy_6,A la caza de la silueta gigantesca,Unknown Huge Silhouette,L'énorme silhouette mystérieuse,미지의 거대한 그림자,未知なる 巨大な影,«Неизвестный огромный силуэт»,Silhouet van iets onbekends,Caccia alla sagoma enorme,Operation Riesensilhouette,未知的巨大之影,未知的巨大之影,L'énorme silhouette mystérieuse,A la caza de la silueta gigantesca,Unknown Huge Silhouette
TakeAnimals,La petición del cuidador de caballos,The Horse Guard's Request,Les animaux de Tabos,말 관리인의 부탁,馬番の願いごと,«Просьба конюха»,Het verzoek van de stalknecht,La richiesta dello stalliere,Die Bitte des Stallarbeiters,看马人的愿望,馬匹照顧員的願望,Les animaux de Tabos,La petición del cuidador de caballos,The Horse Guard's Request
PhotoSpot_Challenge_04,El cuadro del rancho de la llanura,A Picture for Outskirt Stable,Décorer le relais de l'orée de la plaine,평원 변두리의 마구간을 장식하는 그림,平原外れの馬宿を彩る絵,"«Картина в конюшню ""Окольная""»",Een foto voor de grensstal,Decorare lo stallaggio della piana,Das Bild im Stall der Ebene,装点平原外围的驿站的画作,點綴平原外圍的驛站的畫作,Décorer le relais de l'orée de la plaine,El cuadro de la posta de la llanura,A Picture for Outskirt Stable
HorseInnChallenge005,Cucos a la fuga,Feathered Fugitives,Objectif : cocottes!,꼬꼬 포획 대작전,コッコ捕獲大作戦,«Спасение кокко»,"Cucco, ik heb je!",Cattura i coccò,Hatz auf hurtige Hühner,捕捉咕咕鸡大作战,捕抓咕咕雞大作戰,Objectif : cocottes !,Cucos a la fuga,Feathered Fugitives
PhotoSpot_Challenge_05,El cuadro del rancho del río,A Picture for Riverside Stable,Décorer le relais de la rivière,리버 사이드 마구간을 장식하는 그림,リバーサイド馬宿を彩る絵,"«Картина в конюшню ""Речная""»",Een foto voor de rivierstal,Decorare lo stallaggio del fiume,Das Bild im Stall am Fluss,装点河畔驿站的画作,點綴河畔驛站的畫作,Décorer le relais de la rivière,El cuadro de la posta del río,A Picture for Riverside Stable
HorseInnChallenge001,La carreta de mis sueños,Horse-Drawn Dreams,Si j'avais un chariot,동경하던 짐마차,憧れの荷馬車,«Повозка мечты»,Een droom van een kar,Il carro dei sogni,Ein Traum von einem Wagen,向往的搬运马车,令人嚮往的搬運馬車,Si j'avais un chariot,La carreta de mis sueños,Horse-Drawn Dreams
PhotoSpot_Challenge_01,El cuadro del nuevo rancho de Idilia,A Picture for New Serenne Stable,Décorer le nouveau relais de Delass,신마리타 마구간을 장식하는 그림,新マリッタ馬宿を彩る絵,"«Картина в конюшню ""Ново-Тихая""»",Een foto voor de nieuwe Salari-stal,Decorare il nuovo Dormedolce,Das Bild im Neuen Stall von Maritta,装点新玛丽塔驿站的画作,點綴新瑪麗塔驛站的畫作,Décorer le nouveau relais de Delass,El cuadro de la nueva posta de Idilia,A Picture for New Serenne Stable
Genkos_Kitchen,La receta de Genali,Genli's Home Cooking,Le plat maison de Ghenkott,겐코가 직접 만드는 요리,ゲンコの手料理,«Фирменное блюдо Генли»,Genli's lekkernijen,La ricetta di Ghenko,Genlis Selbstgekochtes,庚珂亲手做的料理,庚珂的手作料理,Le plat maison de Ghenkott,La receta de Genali,Genli's Home Cooking
Rito_MedoArmor,El tesoro oculto de las termas,Treasure of the Secret Springs,Le trésor dormant des sources,산의 비밀 온천에 잠든 비보,御山の秘湯に眠る秘宝,«Сокровище трех источников»,Drie geheime warmwaterbronnen,Il tesoro segreto delle sorgenti termali,Der Schatz der drei Quellen,沉睡于山中秘泉的秘宝,沉睡在山巒秘泉的秘寶,Le trésor dormant des sources,El tesoro oculto de las termas,Treasure of the Secret Springs
ArrowMeister_Momo,Las flechas de Moeli,Molli the Fletcher's Quest,La requête de Mohino,화살 장인 모모의 탐구,矢職人モモの探求,"«Молли, лучных дел мастерица»",Molli de pijlenmaker,Le frecce di Momo,Pfeilmacherin Mollis Bitte,制箭师桃虹的探求,箭矢工匠桃虹的追求,La requête de Mohino,Las flechas de Molli,Molli the Fletcher's Quest
Rito_RevaliWeapon,El famoso arco de águila orni,Legacy of the Rito,L'arc de l'aigle des Piafs,리토족의 전통 『참수리의 활』,リト族の伝統『オオワシの弓』,«Большой орлиный лук рито»,De Adelaarsboog van de Rito's,L'arco aquila dei Rito,Das Erbe der Orni,利特族的传统“大鹫弓”,利特族傳統「大鷲弓」,L'arc de l'aigle des Piafs,El famoso arco de águila orni,Legacy of the Rito
Rito_ItemExchange,Intercambio orni,Fish for Fletching,Troc chez les Piafs,리토족의 물물 교환,リト族の物々交換,«Сделка с рито»,Pijlen voor een hoger voedselpeil,Scambio coi Rito,Handel mit einer Orni,利特族的以物换物,利特族的以物易物,Troc chez les Piafs,Intercambio orni,Fish for Fletching
RitoBridgeRepair,El puente colgante orni,The Rito Rope Bridge,Un pont à réparer,리토의 다리,リトの架け橋,«Висячий мост рито»,De Rito-touwbrug,Il ponte di corda dei Rito,Die Hängebrücke der Orni,利特的吊桥,利特之橋,Un pont à réparer,El puente colgante orni,The Rito Rope Bridge
PhotoSpot_Challenge_07,El cuadro del rancho de Tabanta,A Picture for Tabantha Bridge Stable,Décorer le relais du pont de Tabanta,타반타대교 마구간을 장식하는 그림,タバンタ大橋馬宿を彩る絵,"«Картина в конюшню ""Табантская""»",Een foto voor de Tabantha-stal,Decorare lo stallaggio di Colbacco,Das Bild im Stall der Tabanta-Brücke,装点塔邦挞大桥驿站的画作,點綴塔邦撻大橋驛站的畫作,Décorer le relais du pont de Tabanta,El cuadro de la posta de Tabanta,A Picture for Tabantha Bridge Stable
PhotoSpot_Challenge_14,El cuadro del rancho de la estepa,A Picture for Snowfield Stable,Décorer le relais des prairies gelées,설원의 마구간을 장식하는 그림,雪原の馬宿を彩る絵,"«Картина в конюшню ""Снежная""»",Een foto voor de sneeuwvlaktestal,Decorare lo stallaggio del nevaio,Das Bild im Stall des Schneelands,装点雪原驿站的画作,點綴雪原驛站的畫作,Décorer le relais des prairies gelées,El cuadro de la posta de la estepa,A Picture for Snowfield Stable
Neck_IceWaterCave,A través de las aguas gélidas,Crossing the Cold Pool,Traversée en eaux froides,차가운 물을 넘어서,冷たい水を越えて,«Испытание холодной водой»,Over het ijskoude water,Attraverso l'acqua gelida,Die Eiswasserhöhle,跨越冰冷的水,跨越冰水,Traversée en eaux froides,A través de las aguas gélidas,Crossing the Cold Pool
Lodge_Chemical001,La cabaña cerrada,Open the Door,Barricadés dans la cabane,문을 열어라,扉を開けて,«Закрытая дверь»,Doe open!,Apri la porta,Die verschlossene Tür,打开门,開門,Barricadés dans la cabane,La cabaña cerrada,Open the Door
Hack_GuardGoods,Unas provisiones muy codiciadas,Supply-Eyeing Fliers,Des provisions convoitées,표적이 된 물자,狙われた物資,«Очень ценные припасы»,Goederen in gevaar,Le ambite provviste,Angriff auf die Vorräte,被盯上的物资,被盯上的物資,Des provisions convoitées,Unas provisiones muy codiciadas,Supply-Eyeing Fliers
Nazley_DigCave,La cueva obstruida,The Blocked Cave,La grotte bloquée,막혀 버린 동굴,塞がれた洞窟,«Заваленная пещера»,De versperde grot,La caverna bloccata,Die verschüttete Höhle,被堵塞的洞窟,堵塞的洞窟,La grotte bloquée,La cueva obstruida,The Blocked Cave
GoneSnowQueen,La campeona desaparecida,The Duchess Who Disappeared,L'impératrice disparue,설산에서 사라진 여왕,雪山に消えた女王,«Пропавшая Снежная королева»,De vermiste sneeuwkoningin,Dov'è finita la regina delle nevi?,Die verschwundene Königin,消失于雪山的女王,消失在雪山的女王,L'impératrice disparue,La campeona desaparecida,The Duchess Who Disappeared
Hebra_SkyRingChallenge,El nuevo entrenamiento orni,Kaneli's Flight Training,Nouvel entraînement Piaf,리토족의 새로운 비행 훈련,リト族の新たな飛行訓練,«Новые летные учения рито»,De nieuwe Rito-vliegtraining,Il nuovo allenamento aereo dei Rito,Ein brandneuer Flugparcours,利特族的新式飞行训练,利特族的新式飛行訓練,Nouvel entraînement piaf,El nuevo entrenamiento orni,Kaneli's Flight Training
MushroomSisters_1,Los hongos que brillan en la cueva,Cave Mushrooms That Glow,Des champignons brillants,동굴에서 빛나는 버섯,洞窟に光るキノコ,«В пещере светятся грибы»,Glimmende zwammen,La grotta dei lucentini,Helle Pilze in dunkler Höhle,照亮洞窟的蘑菇,照亮洞窟的蘑菇,Des champignons brillants,Las setas que brillan en la cueva,Cave Mushrooms That Glow
MushroomSisters_2,Invasión a la tienda de campaña,The Captured Tent,La tente accaparée,빼앗긴 텐트,乗っ取られたテント,«Захваченная палатка»,De veroverde tent,Riconquista la tenda!,Das eroberte Zelt,被夺走的帐篷,被搶走的帳篷,La tente accaparée,Invasión a la tienda de campaña,The Captured Tent
